Year,Non-OECD Europe and Eurasia MMmt,Non-OECD Asia MMmt,Middle East MMmt,Africa MMmt,Non-OECD Americas MMmt,Total Non-OECD MMmt
2050,3508.9009,21168.7285,2428.4954,2046.2652,1600.012,30752.4021
2049,3491.0553,21061.2762,2425.011,2014.2714,1584.9219,30576.5358
2048,3477.6185,20937.5857,2420.9612,1981.7259,1569.6792,30387.5706
2047,3458.6681,20828.7042,2415.6842,1952.0199,1555.6102,30210.6865
2046,3440.8974,20692.79,2408.9187,1918.5543,1540.2551,30001.4154
2045,3424.672,20560.6494,2402.8476,1889.4734,1527.3452,29804.9876
2044,3403.9515,20359.8326,2393.6242,1868.2872,1509.5984,29535.2939
2043,3386.1341,20154.0185,2382.9761,1847.8106,1494.2304,29265.1698
2042,3367.1443,19925.7978,2369.6104,1827.8068,1478.4819,28968.8412
2041,3348.2194,19715.2478,2355.3909,1807.3685,1463.0596,28689.2862
2040,3325.1978,19516.1967,2339.6938,1786.5205,1447.2012,28414.81
2039,3303.7494,19306.0411,2328.334,1761.4864,1431.3124,28130.9233
2038,3284.1546,19114.995,2315.3127,1736.9982,1414.5746,27866.035
2037,3263.4707,18915.7313,2301.1797,1714.0593,1398.8959,27593.3369
2036,3244.0657,18729.0286,2280.0972,1689.9144,1384.252,27327.3578
2035,3219.5635,18546.8497,2260.7074,1668.3093,1368.6888,27064.1188
2034,3188.578,18353.0471,2264.1389,1638.326,1356.1585,26800.2484
2033,3161.714,18135.0784,2265.0292,1607.9578,1342.4258,26512.2052
2032,3136.2177,17951.2663,2268.3257,1581.4963,1331.9056,26269.2116
2031,3110.7589,17730.0374,2272.6333,1554.5433,1318.9628,25986.9356
2030,3086.2523,17528.4388,2277.4527,1527.7877,1306.8638,25726.7953
2029,3068.4669,17411.7819,2279.3537,1507.3446,1300.5628,25567.5098
2028,3052.6557,17314.9983,2281.9226,1487.227,1293.6922,25430.496
2027,3036.0496,17196.7699,2281.2601,1465.5927,1285.4039,25265.0762
2026,3021.6513,17103.7874,2277.2472,1444.255,1276.2381,25123.179
2025,3000.9161,16981.5473,2269.9491,1417.9139,1264.5898,24934.9163
2024,2977.3203,16867.4553,2241.3177,1386.704,1249.4496,24722.2469
2023,2947.7668,16710.1132,2210.4832,1350.7926,1231.8698,24451.0256
2022,2913.8127,16537.1717,2175.8288,1316.3207,1210.8523,24153.9862
2021,2861.8609,16280.5812,2122.3639,1280.9061,1188.4815,23734.1936
2020,2929.7306,15533.9673,2027.486,1250.0112,1105.6234,22846.8184
2019,2993.5256,16058.8969,2119.6641,1330.8865,1194.7133,23697.6864
2018,2896.2672,15668.5219,2089.6976,1308.5746,1196.9477,23160.0091
2017,2829.9708,14909.1744,2089.3257,1294.2375,1203.3825,22326.091
2016,2735.0604,14288.0099,2024.295,1278.9246,1229.6383,21555.9282
2015,2758.5593,14715.0614,2031.1596,1276.6456,1278.6689,22060.0949
2014,2775.8119,14914.4248,1993.9579,1262.1173,1243.9638,22190.2757
2013,2828.9782,14777.3264,1940.9356,1229.5817,1205.2912,21982.1132
2012,2928.911,14461.2314,1897.164,1175.4856,1174.8778,21637.6698
2011,2934.4892,13702.5755,1802.9735,1134.7692,1115.7342,20690.5415
2010,2775.6092,12704.9228,1718.2035,1092.9807,1092.451,19384.1672
