Year,OECD Americas MMmt,OECD Europe MMmt,OECD Asia MMmt,Total OECD MMmt
2050,6312.1413,3671.1153,2103.7617,12087.0183
2049,6270.5993,3652.1818,2111.4728,12034.2539
2048,6233.1022,3640.4254,2121.131,11994.6586
2047,6193.18,3624.6087,2129.4965,11947.2852
2046,6161.9094,3610.7163,2138.1171,11910.7428
2045,6133.9265,3602.3715,2149.088,11885.386
2044,6107.4379,3593.1101,2161.9613,11862.5094
2043,6072.5062,3587.8579,2175.8638,11836.2279
2042,6032.6199,3582.8694,2188.0915,11803.5807
2041,5992.9112,3580.4469,2202.8831,11776.2413
2040,5964.633,3575.7786,2216.9578,11757.3693
2039,5932.4545,3570.9549,2223.7774,11727.1868
2038,5902.7798,3569.5048,2229.4806,11701.7652
2037,5887.6379,3570.8654,2237.5934,11696.0967
2036,5869.701,3572.1475,2244.029,11685.8776
2035,5849.5302,3572.119,2249.9491,11671.5983
2034,5848.2899,3575.7933,2252.4333,11676.5165
2033,5824.4736,3577.9308,2255.6908,11658.0951
2032,5812.4029,3587.73,2260.3906,11660.5235
2031,5814.2939,3594.0315,2262.9542,11671.2797
2030,5817.0718,3605.8415,2263.9646,11686.8779
2029,5833.1929,3631.1763,2269.3332,11733.7024
2028,5834.4281,3648.6959,2276.1763,11759.3003
2027,5839.2535,3677.4097,2282.0726,11798.7357
2026,5871.3927,3708.8546,2288.5116,11868.7589
2025,5837.9508,3731.3645,2293.2105,11862.5258
2024,5889.2089,3760.8202,2310.012,11960.0412
2023,5958.1398,3779.6577,2321.6911,12059.4886
2022,6017.6656,3766.4709,2321.0809,12105.2174
2021,5886.749,3741.0208,2312.8775,11940.6473
2020,5650.5384,3593.437,2252.4716,11496.4471
2019,6358.6468,4018.6086,2459.6607,12836.9161
2018,6546.6417,4090.9718,2481.9177,13119.5311
2017,6383.5464,4171.1814,2525.0636,13079.7914
2016,6423.0659,4086.1574,2539.4596,13048.6829
2015,6511.2292,4077.4154,2519.5309,13108.1755
2014,6634.7168,4023.9737,2520.8568,13179.5472
2013,6586.6499,4161.8498,2564.562,13313.0617
2012,6440.5212,4232.3952,2564.6925,13237.6089
2011,6649.3437,4253.5653,2471.8226,13374.7316
2010,6757.4654,4386.9438,2419.5041,13563.9133
